AUC
0.58
0.554
0.582
0.556
0.586
0.566
0.642
0.554
0.614
0.596
0.514
0.676
0.502
0.658
0.536
0.56
0.63
0.46
0.492
0.574
0.618
0.598
0.532
0.578
0.588
0.63
0.608
0.634
0.68
0.536
0.592
0.574
0.658
0.582
0.59
0.604
0.632
0.55
0.668
0.568
0.554
0.578
0.606
0.576
0.488
0.476
0.596
0.6
0.582
0.552
0.606
0.576
0.516
0.646
0.606
0.656
0.584
0.57
0.528
0.588
0.508
0.572
0.648
0.632
0.526
0.56
0.57
0.614
0.576
0.644
0.576
0.534
0.568
0.574
0.448
0.52
0.622
0.586
0.546
0.538
0.53
0.526
0.566
0.596
0.604
0.532
0.542
0.656
0.532
0.666
0.54
0.512
0.608
0.602
0.594
0.542
0.606
0.572
0.6
0.63
